text,rating
I love everything about this product. It's already made a difference on the color of my teeth and it leaves me with that just left the dentists office feeling I've been chasing!,positive
Se vé bueno,positive
"I purchased this to try out as the previous brow tint I was using dried up and didn't seem to be working so well. I am very pleased with this product! It is easy to apply and is very natural looking. It did take a couple tries to get it looking perfect since I am used to a ""mascara"" type of applicator and this is more of a ""foam"" style but I am very pleased with my results!",positive
"Knots bleached easily, soft with little to no shedding and true to length! Great lace",positive
Not a flattering color to light skin,negative
"Using my husbands account.<br /><br />I've purchased this product around spring '18 used it and it was amazing, talk about hair feeling soft as butter. I mean your fingers, comb, brush or whatever you use will go straight through your hair with ease. I left it in for about a couple hours since I've haven't had a protein treatment in years. But THAT'S how soft, silky smooth it was from root to tip after my first use.<br /><br />From protein treatments I reviewed and talking to hairstylist I understood that I should use it 1x every 6 weeks but it's truly based off your hair needs. So I decided 1x a month was ok for mine at this point. I purchased and used again in July '18 with similar results but not as silky because I cut the time it set in my hair to a little over 30 mins. Mainly because I didnt want it that soft because my hair is fine but curly, coily and straighten it was like baby hair all over my head although my hair is bra strap length.<br /><br />I purchased 2 more packs in Aug '18 and noticed the packaging was slightly different. Instead of saying ""made with natural coconut oil and monoi"" it now reads ""made with FAIR TRADE coconut oil and monoi"". I then compared them together and noticed it no longer says ""Made with natural Vitamin E (Tocopherol)"" above the ingredients list either. I continued to read the ingredients list and a couple things have been removed which are: Helianthus Annuus (Sunflower) seed oil and whats been added in its place is Tocopheryl Acetate, down the list these other ingredients have been simply added not replacing anything Leuconostoc/Raddish Root Ferment Filtrate, Dimethyl Stearamine.<br /><br />I said that to say this, my hair personally loved the last ingredient list as it was, but this new list my hair is not okay with because it seems like it's more drying when applying on wet hair. Versus the last packages I used, they glided on and conditioned my hair along with giving it protein. So if I cant find the original ingredients and packaging I'm gonna have to discontinue supporting this product and brand. It was the only thing from palmers that I've used in years. And I told the world (everyone I know) how great it was, bought and gave some out but no more after this.",negative
Love it.,positive
Product has a bad order unlike other Shea butters I used before. I will not buy again.,negative
"The light doesn’t work. The wiring is probably wrong as it goes on and off by itself. Also when trying to change the intensity by pressing the light button as per the instruction, the only result is the light annoyingly flickering.<br />It may just be a particularly bad mirror.<br />Returning.",negative
I'm so happy with this nail drill. It worked really effectively and it was easy to use and feels professional. I used poly nail gel for the first time and had to take the nails off because a different nail drill I ordered died half way through cleaning up my nails. I saved them and bought this one and I can finally put my nails back on! Theyre smooth and sleek now,positive
Great lashes!,positive
Okay product.,positive
"This is very cute.  The clasp is strong and the chain is long enough.  It comes with a variety of ball colors.  My daughter loves having one like her mom.  I know they call it Nice Mouse, but it looks like Mickey, making kids happy.  I did receive this at a discount in order to give my unbiased review, but I'd recommend this to a friend looking for something similar.",positive
"My favorite hairspray but a few bottles always end up getting clogged and I have to throw them out. Other than that,  the product itself really works. I've been using this hairspray for over 5 years. It freezes your hairstyle in place. After using, dont even think about styling your hair bc it wont move",positive
A good pallette for beginners. The eyeshadows are very settle and I used one specifically for blush for my medium tan skin.,positive
"This is a light mask with no irritable ingredients. This was very moisturizing. The packaging is beautiful but I think the price is too high. Also, there is no separate hole for your lips/mouth so I can't drink or eat anything while using this mask. Although it was a bit irritating and the overall mask had a very awkward fit - at least for my face, it had the added benefit of moisturizing my lips. Anyone with oily/combination or sensitive skin will definitely really enjoy this mask. But people with dry skin would need extra hydration and moisture. I always love rose water, especially as toner. This is like an advanced rose mask which I really enjoyed.",positive
"Both jars arrived about 70% full of lotion. My version was not buttery, did not smell particularly good, and was mildly moisturizing. Disappointing.",neutral
"For those that complain too little contents. Disagree. The size is perfect for a week. And like the travel size. Someone commented only enough for single use, they are using way more than needed for a single application.",positive
"It comes just as it looks and its quiet helpful. Its small and compact, which is good for travel.",positive
"I love the lashes!!! Very glam and fancy feeling, however, the adhesive eyeliner pen for these lashes does not work. I tried in multiple ways, but the lashes didn’t even stay on for 10 min without lifting from the inner corners. Yes my eyes were clean and I don’t have oily eyelids. I even tried to wait 30sec to a min before putting the lashes on & I had the same problem with the lashes coming off. I’m going to try to put the adhesive liner on both my lash line, and the lash band itself next to see if that helps any. I bought normal glue in case this method doesn’t work, because these lashes are just to beautiful to be thrown away.",neutral
"None of it worked. Not sure if you need special nail polish in order for it to transfer to the stamper or what, but no matter what color I used, nothing would stick. The plate scraper didn't remove any excess polish from the plates and I ended trying to use an old credit card. Once I actually revealed the design under the polish and placed the stamper on top, nothing would transfer.",negative
Great scent and great price,positive
"This hair was awful. When I received this hair it looked good, so I placed it on my shelf, finally today I try to install hair just easily unravel and looks a hot mess. Value was great but not worth it. Waste of money.",negative
Given as a Gift,positive
A good collection of colors for French Manicure. Each one requires a minimum of 2 layers to allow sufficient coverage. However it doesn't last very long.,positive
It will be a gift.  It is beautiful and I was pleased with the quality of the product .,positive
The box and bottles have a metallic shine to them you can not see in the pictures it makes it even more cool. All the smells smell great. This is a must have especially for marvel fans.,positive
"AT FIRST, I THOUGHT IT WAS NOT WORKING, BUT IF YOU PASS IT VERY GENTLY OVER YOUR VERY TANGLED HAIR, IT'S LIKE IT ALIGNS HAIRS. LITTLE BY LITTLE IT WILL GO DEEPER AND DEEPER UNTIL ALL HAIRS ARE ALIGNED, DETANGLED AND BEAUTIFUL TO STYLE. I LIKE IT A LOT! AND IT IS STURDY ENOUGH NOT TO BREAK WITH THE WORST TANGLED KNOT",positive
"I thought it would show that you have a real part once you turn it to your liking, NOT. It does hold your wig in place though.",negative
"I’ve bought many pet combs/brushes that were okay, but none worked as well or were enjoyed by my cat as much as this comb. It’s the perfect size, comfortable to hold and manipulate and my cat LOVES being combed with this. Sometimes he will even fall asleep while I’m combing him. Glad I took a chance on this comb. Great purchase!",positive
Does what it intends to do !,positive
Was not a fan. Did not work well.,negative
did not work at 300 degrees they got so hot it was like they were not even there,negative
Best make up I ever had,positive
1. Came late went all the way to Wyoming before it came to my address<br />2. One of the packages came open.<br />3. NOT SEAMLESS. Just look at the pictures,negative
Being a welder and having ur hair in a ponytail  everyday sucks but this gives me life lmao loved it. 😁,positive
"for the price ? come on now get it, !!! truly works great and what I like it is smaller I don't have a huge beard so a lot of those wide ones are over kill for me, this is perfect for a small or like my beard I consider it medium. And it heats up  very fast",positive
These twists are really soft and lasted very well. They're a good quality for a reasonable price.,positive
"It stuck to the wall great, but the mirror seems to be decomposing after only 2 days of being out of the packaging. I was really excited when I first opened it and put it up but it is now in the trash what a waste of money. Congratulations. You have successfully produced the worst product I have ever bought.",negative
This supplier fixed my gel polish issue SO quickly and I will purchase from them regularly.,positive
Great color but spendy,positive
"I was looking for a good foundation without spending a ton of money, I have to say this does pretty good. It goes on smooth, I don't feel it, nor does it look cakey, I also have sensitive skin, and have used it with out any irritation.",positive
"[[VIDEOID:a21fbc36a0c65b7469a2dff24bf2aa55]] This is a two product review&#34;<br />First Product Review is: ELFINA Salon Hair Cut Cutting NYLON Cape (Size 38&#34; x 54&#34;)<br />Second Product Review is: ELFINA Hair Cutting Shears/Scissors and Professional Barber Thinning and Texturizing Set.<br />Starting of with the Cape, This is a very nice and durable good size NYLON cape and you can tie it up or use the Velcro to secure it in place.<br />I also like that is very easy to clean just shake off any hair that is still on it and If you drop any hair product on it just grab a wet cloth a pass it thru is that simple.<br />Now I must say that I absolutely LOVE this Shears Set (Scissors & Texturizing) it also came in a really nice hard case for storage with a Comb, 2 hair clips plus a cloth to clean them after use. This set looks and feels like a great quality material and they are very easy to use and feel real comfortable on the hands while using them.<br />*** I did received both products Discounted/Free in exchange of my honest review and in no way I'm obligated to post a good review. This is my true recommendation because they are 2 great products.",positive
Ordered these to give away on a mission trip to Kenya!  They were a HIT!  absolutely perfect!,positive
"It’s definitely a great pomade, but I found it doesn’t have as good of a hold as others I’ve tried in the past. Shine is medium-high, and the scent is positively nonchalant. Washes out very easily without the aid of shampoo.",positive
"Not very pigmented and when it is, it looks like an eyeshadow color not highlight. It’s okay, but I would not buy it again.",negative
Pretty good for the price!,positive
This is one of my favorite scents.,positive
This does not do what it says...and the smell is awful. I just can’t put this on my skin with a smell like that. I think the coverage is the same as any other foundation I have used and it does not last as it promised.,negative
So cute! And fast shipping!  Love!!!,positive
The moisturizer along with the face wash are great.  My son loves using both. We received this as a free trial and it's awesome.,positive
"So, I am usually someone who is pretty particular about hair items. This brush passed my test! I used it for a blowout and with my blow dryer it had wonderful results and left my naturally curly hair pretty smooth for straightening! I really would recommend this for anyone who wants a good brush to use for a blowout!",positive
Really natural looking but it sheds a bit,positive
I love how easy this is... if you have long hair it can take longer but it really is easy and makes beautiful curls!,positive
"I think the product may be good for different types/shapes of faces. I am a small person, and the stencils were too large for my face. I think the product would work fantastically on the right size of the face.",negative
"Smells pleasant, skin is soft afterward. The mask dripped quite a bit, so I would probably squeeze the excess out next time i use it",positive
This oil is great. It does exactly as promised and is very light on my hair.,positive
We have used these several times now and they work great.  Hair is secured nicely with the pins.  Great product.,positive
Best natural eye drops I've found.  I will definitely get them again.,positive
"I bought these for my teenage granddaughter and she loves them! The work great, stay in all day, and wash out easily! Great product!",positive
Nothing,positive
"[[VIDEOID:b47618b6bed073f2f98492ba05485239]] I love this hair.<br />Pros: It blends into my hair beautifully. Out of the box it’s soft, thick enough with 2 packs for full head and one pack for a ponytail. Can be colored, washed, tangled by teasing, detangles with brush and does not shed!<br /><br />Cons: The curls are much tighter than the woman advertised.  I would love to help these companies when they lift black hair. Not sure it should be on the customer to tone this to a natural shade because this hair (most companies do this) was bright gold. So you will need an ash toner. I happen to be licensed so it’s easy for me to figure out.<br /><br />I will definitely buy this hair again.  The price point is on point. It is an amazing alternative to heat holding wigs. Plus you can change your style everyday if you choose.<br />#prettytildawn",positive
This couldn’t be cuter!,positive
"Hello lover!!! If you love shoes as much as I do, this is your loyal companion. Literaly no more blisters, just pure joy of wearing my shoes.",positive
"I'm truly in love with these and this brand. My first time ever wearing eyelashes. I do love wearing makeup I just never worn eyelashes. I never wanted to try the glue eyelashes, I was never to enthusiastic about it. However I got these because they were extremely reasonable and I wasnt going to feel bad if I didnt like it. They were super easy to apply and they lasted all day.",positive
"I recently purchased this oil and am very pleased with the product! Not only is it affordable but it has made my skin look amazing...I use it on my face, neck and chest area and it has done wonders.<br />I also just tried their body cream and adore it!!! it smells amazing and goes right into your skin.",positive
"Great spa like bath pillow! The pillow is plush and thick, unlike our last pillow. The material is fabric and easy to wash in the washer, so much better than our last plastic/vinyl covered tub pillow that was cold to the touch. The suction is much better and stronger on this pillow, with 6 large suction cups. The pillow also has a hanger on it for drying purposes but tucks away when in use. Hands down a great bath pillow that’s very spa like!",positive
"Get your products and work it. I have installed this hair twice sine January. I love it. I wash it once per wk and use off brand pink oil, leave in conditioner, and sometimes mouse. I leave minimal leave out and I crimp my leave out and it blends perfectly. Oh I also use grease on my leave out before crimping. You can even crimp the hair but I just braid the hair and sometimes dip in hot water like you would do braids.",positive
These are great! They've made my nail designs much easier. Definetly recommend!!!,positive
Excellent product that stays on!,positive
Works great,positive
Awesome and well made brush. It is larger than I thought but still great!,positive
I love this eyeshadow pallet!  Amazing colors great pigment! A little goes a long way.,positive
They do not cover your forehead. Very Small.,negative
"This cream makeup arrived in a scratched up, unsealed compact, which appeared to have been opened/tampered with. Seemed unsanitary and definitely not something I wanted to risk putting on my skin. Returned immediately.",negative
"Very think and has a big screw/bolt that sticks out. Hair gets tangled in the bolt, not impressed at all! Not to mention the ends are rounded like preschool scissors.",negative
Pretty colors,positive
"the wig over all is nice but ,the wig i received has very short bangs, I have order the long side bangs its nothing like the picture other than the color of the wig<br />i have planed a certain look around this wig & paid extra shipping to get what ordered<br />I'[[ASIN:B01E1HHOME VRZ Short Human Hair Wigs Pixie Cut Black Wig with Side Bang Medium Cap Size None Lace wig Color 1B (XJK)]]m bummed  NO SIDE BANGS that the whole point of choosing this wig &#34;the side bangs&#34;",negative
When I’m cleaning my large dogs paws they are moving around and so therefore the water is spilling all over,neutral
One of the best purchases ive made. So much more convient to use Listerine.  This pump gets used very frequently.  Just make sure you leave the cup when depressing and releasing the pump as it spits a bit when pump is released.,positive
good storage case for most of your electronic items,positive
"I got lots of compliments on it the first couple of times I wore it, but by about the 4th or 5th wear, the teeth in the clip combs started to break off in my hair. I do have thick hair, and it really is pretty, but wasn’t durable enough for the long haul.",neutral
"Followed the directions.  Used consecutive times over multiple weeks.  Not quite done with the bottle, but I'm not seeing significant results.  Not sure I can recommend this product.  It isn't working with my skin type. It's like putting Ben Gay on your face.  That would be a lot cheaper than this.",negative
"Great product, does what is supposed to do and very well, extremely happy with the results - my feet feel like bay feet again.",positive
Hair is horrible. It sheds extremely bad. Once installed it continued to shed and became tangled. I had to remove hair and reinstall different hair within a week.,negative
For a light mascara it’s great,positive
Got 2 of the same colors so I basically only got 5 which was disappointing but happy with the 5 I got,neutral
Like the scent. Decent job moisturizing/holding my billy goatee,positive
Gets the job done but it’s smaller than I expected it to be (only slightly larger than a normal sized pen) and it is very light (I anticipated it being heavier).,positive
"This product isn't sold in the US unfortunately, so it may take a little bit longer to ship. That said, it's definitely worth the wait.  I have extremely oily skin, and this does a very good job at lessening it.  When I don't use this, I have to use multiple oil-blotting sheets throughout the day.  My usual routine is to use a cleanser that helps with the oil - something with salicylic acid, or lately Dermologica's Dermal Clay Cleanser, then use some witch hazel as an astringent/toner.  After that I use a little bit of oil-free moisturizer, then once that's try, I put this under base on.  I noticed immediately that it dries very fast.  It doesn't make your skin dry, but I don't have to wait forever for it to soak in before I put on my makeup - it helps the moisturizer soak in faster too.  My pores looked much smaller, and my skin felt very smooth.  Like other reviewers have said, it made a very nice canvas for the makeup.<br />You may find yourself surprised at the size when you receive it - the canister is much smaller than you might expect, and it's metal.  Depending on how much you use, you might want to go ahead and buy two, just because of how long it will take you to receive your next one.  Another word of warning - you'll need a lot less than you think.  When you press on the pump, you really only need to tap it; it will put out a bunch of mousse very quickly, and it's easy to get more than you need.<br />All in all, it's a really fantastic product, and despite the price tag it's really worth it.",positive
"Great little must have. Keeps makeup cleaner than back of the hand & it saves product. I recommend everyone buy a pallet. This one is great being stainless. Fits in a makeup bag, cleans so easily & the palette knife is a great tool. Good purchase.",positive
Love the product but if you get it on skin it burns so wash your hands immediately,positive
i was so exciting that this item is good price for 10pc，i will let my friend buy again,positive
I bought it to hold my nail polish. It;s nice that it's see through. . . . . . .,positive
Love this wand and my hair always comes out looking great! Just be careful and use the glove!! I’ve never burned myself with a wand before so I didn’t use the glove... boy I wish I had.. a quick touch to the skin sizzled it badly.,positive
They are easy to remove because they won't stay on!,neutral
I had never tried anything like these for a quick ponytail but I am sold.  They are so well made and I have had no problems at all.,positive
"I ordered this vintage retro elephant ring set for myself. I was really excited, and loved the look of the rings as pictured on the model. The rings arrived in a cute jewelry drawstring pouch. Each ring is just as it is pictured. The quality is good, and they look cool in person. I tried to put the rings on as pictured in the picture, but they were to small. I was so disappointed. I could not get the elephant ring to fit at all. I wish the ring set either came in a variety of sizes like sm/med/lg or that they could be adjusted by being open like toe rings. If you are planning to give these as a guft make sure that the recipient has thin fingers! They do fit my eight year old. I can fit a couple of them on the top part of my fingers, so I might try to wear them. I received this item at a discount in exchange for my honest opinion.",neutral
"No completely mad, upset at myself. I knew it sample size and was curious.  I didn't believe I could get a whole pallet like that what what I paid for. I just wish a picture like this would have been a little better .",neutral
Started using this product from a high-end spa and was excited to be able to purchase on amazon for same price.,positive
"Love the look!!  Easy to apply, and stays on even when I sweat!!  Love it!",positive
Great product.  Light weight and a little goes a long way.,positive
Disappointing. Not easy to get close enough to the base of lashes.,negative
"These are cute brushes! However, some were cracked (the pink paint). I put those brushes in my junk pile of brushes, but I'll be using the rest. You get what ya pay for.",neutral
I buy this soap for my husband and he loves it. Great Product.  Good for skin.,positive
it works and it get the job done,positive
Product was fake not real hair or even Remy hair as soon as I tryed to curt or flat iron then they shriveled up an burns on low heat! Plus there was even slivers of confetti glued in . Will never by again,negative
"I've been shopping for a cooler color tone in preperation to make my eyes pop since the rest of my face is hidden by a mask.  I just started to use this pallete and its actually really pretty.  The eye shadow comes off the brush well and doesnt dust all over the place.  I found them on social and happy that they were cheaper on Amazon!  Great brand, definitely looking into other products that they sell.",positive
Thin plastic  works fine for what I needed,positive
"Got them for a friend, and she was very pleased, especially with feature of brim",positive
Great product,positive
"Otherwise, I love the color and the softness and roll of the product.",positive
Great product helping my stubborn melasma and acne,positive
One it’s not the write color it’s yellow<br />Two purple shampoo ruins them just a heads up! Wasted of money.,negative
works great at a great price,positive
Very disappointed it doesn’t even cover the hair line on my children.,negative
Spins too fast no matter what . Can’t make it take off the dip nails … anyway I can’t,negative
they were a little to big and the dog was a bit derpy other than that it was good,positive
"These are absolutely perfect! No more fussing with square bandanas to form the right adorable shape, these just slip right on and you're ready to go! The only suggestion I have is that maybe try a few different colors... Although I'm sure I will use every one of them, maybe a few other colors instead of 4 different blues. (Like maybe light yellow? 🤗) But other than that, these are awesome! And they don't slip off my ginormous skull! Love, love, love!",positive
These gloves are great. Comfortable.,positive
"Have ordered from this company before and had no issues, thought extensions held up like they should. Was impressed! However this time around they fell out after first wash... I did everything I should to take careful care of them (this not being my first time) and they did not hold up like the time before not impressed this time around. May a bad batch of adhesive?",negative
Perfect for daytime.,positive
Products arrived on time. These are quality bands and have been ordered several times.,positive
"I see the potential, but there's a definite learning curve. It works as good as the person spraying you",positive
Works exactly as described. Holds my hair all day. Probably best for medium length hair.,positive
Awesome product you definitely need 6 packs of hair or more but the color is beautiful and the softness is awesome,positive
I really like this kit.  Since being home due to covid im on almost week 2 and no chipping which is great.  Whatever else gets I was using I'm getting rid of this is my Holy Grail right now of doing my nails now. I definitely recommend it,positive
Burns the heck out of my poor eyeballs *and* eyelids. NoOooOooo thank you!,negative
Eh brushes seem soft but came with missing handle,negative
Closing hooks no good,neutral
Worked  out well with the Covid 19.,positive
I ordered a 360 lace wig and it wasn’t no lace in the back,negative
"It's pretty, but was broken on arrival.  I did try it on to see how it looked and it got stuck in my hair.",negative
They were sized really big and weren’t able to be bent to size,negative
I love this hair and it came with free eye lashes thank you so much,positive
"Mach 3 cartridges clip on and off with no problems. The handle itself is a touch longer than the original Mach 3 handle. Easy to hold and light weight, about the same as the original.<br />Only things I would change would be adding texture to the handle like on gym weights (note the handle is not slippery) and instead of shiny silver, have a brushed silver finish.",positive
These blades are so cheap you can't afford not to try them if you like platinum coated blades.,positive
"Very good, and the delivery was free.  However I think that one of the pencils enclosed was a silver color, which I did not order.  I will use it as an eyeliner, so am not too concerned.  Otherwise it would have been 5 stars.",positive
"Love this mask just perfect , just as described even better .",positive
"I have a product by this company that I bought years ago and recently reordered to find that they've made unfavorable changes, including the scent.  This was the first time I tried this soap.  It smells like it's described, sort of a honey/beer/spice smell and solely masculine.  It lathers and washes fine.  Soaps with olive oil tend to make my skin breakout, which this did.  So, I threw it in the trash and along with their other products, I will not be purchasing it again.  I've used natural cosmetics for almost 25 years and this company is on my &#34;no go&#34; list, but I can see some people liking this soap.",neutral
Works great and the Time of delivery was fantastic,positive
"I purchased other Japanese liquid eyeliners, including this formula in brown, elsewhere on Amazon and the packages arrived unsealed and dry. This is the same formula you get in Japan - concentrated, wet, but miraculously washes off with water, no pulling! I’ll only be buying from here in the future!",positive
Love the hair I’ve reused it so much and it still looks fresh!! Very soft and flowy!!!,positive
"This is my second time purchasing this scent. The scent is very light and sweet. Perfect for a casual summer perfume.<br />Doesn’t last all day, but I still like it.",positive
Okay.,positive
"I love this! It's large enough, comfortable and seems durable.",positive
I love it always it keep me dry,positive
"Smooth shaver, holds charge for 5-6 shaves. No indicator to show how much  battery power remains.",positive
My husband loves Tres Flores and is glad he found product,positive
"Does not hold 3c hair. It’s a very watery gel, nothing like the olive oil or clear ECO. More like the blue one. Not even good for twist outs, there is absolutely no hold. Still builds up and flakes!",negative
Loved it! Thank you!,positive
"I got this for my wife and she loves it. She always raves about a similar tool that her facial lady uses and after using this for a week now, she says it feels and works just as good. It comes in a nice box that she can restore after each use.",positive
These bottle are much better quality than the 1/3 bottles.  The rollers work perfectly and the tops snap in place.,positive
No words to describe how beautiful these are ...I love them!!,positive
"I loved the product itself and it covers the age spots and scar. It may be waterproof; not sure, but if you hug someone the transfer goes to clothing which isn’t good.",positive
"I underestimated the 5.5 inches -- it is actually about 6""x3"" tall -- and although this is a sturdy and well made clip, it will only work for someone with a lot of dense hair!",positive
Worked well.  Recommend for a peel at home.,positive
"Perfect size for enough home made insect repellent for a week long backpacking trip with some left over.  They seal very tight, no leaks at all!  Seller was very quick and generous in resolving a shipping issue.  If you are looking for small ointment jars, look no further.",positive
"Pretty, but a disappointment. Not only does one need to apply frequently, but as far as &#34;plumping&#34; is concerned, I'm just NOT seeing it. (I've had better.) However, this was rated as the #2 of the 'Best Lip Plumpers', (#1 was astronomically expensive.) So, I kinda feel like l've donated money to the company without buying shares.<br />Mo",neutral
Just started using this one day and can feel the difference.  I use it under my skin cream.,positive
Daughter only uses this,positive
My daughter loves them. She said they're comfortable to the point she can wear them all day (they don't dig in behind her ears). The bows are nice and made well. Will order again in the other colors.,positive
My husband & I both bought a pair & wear them every night. Really blocks the light.,positive
The product was not in the box ? I received a box with an empty bag of air.,negative
the sparkles in the shadow get everywhere and the color was not what i thought it would be.I do however love the mascara and I should have ordered the dark eye shadow or the light one. My name is Jackie Chavez not Mike Chavez.,negative
"This wig looks and feels like real hair. Sheds a good bit, but amazing for the price.",positive
"so this is the very first non costume wig that I have ever purchased + I was pretty excited about it. I've only had it not even 4 days + sadly it's pretty destroyed. the only time I'll ever wear this wig again is if I'm doing some kind of halloween look. the hairline is VERY ""wiggy"". I wouldn't wear this wig without a beanie or a hat of some kind to cover up the hairline. when I first touched the wig in person it was very soft + pretty. it looked + felt like real hair. I haven't put any product or heat on it. + like I said I've only had it three days. 😭 I purchased it specifically for a trip to New Orleans. I wanted it so I didn't have to worry about doing my own hair. but it's now a rats nest. 😭 I definitely wouldn't recommend this wig. which is sad because I was really looking forward to it.",negative
"The color and shape of this wig were great. However, there's no way to adjust it and it was a little too big for my head. I ended up tugging on it a lot during the night.",positive
"Very happy with this product.  When i first received it, last year, i was shocked to notice that it maintained a liquid state.  Great for combining in massage, and for hair!",positive
The Best hairspray ever! Used it most of my life and I am 76?,positive
I purchased this for my husband and I to enjoy our double jet tub. Very comfortable! Easy to wash and dry. Highly recommend!,positive
"Cute and fast shipping, thank you very much! 😊",positive
Super hard to use and breaks easily . Not worth time or money,negative
